Equipement,Désignation,Fabricant,Zone de tri,Poste technique,Désignation,Année constr.,Cat. véhicule,Date acquis.,Date mise serv.,Poste respons.,Type de propul.,Type pétrole,Statut util.,Fin de validité,Modex - Catégorie cy,PowerBI - Catégorie
10038,REMORQUE DAL-BEL (BRÛLEUR) (8750),DAL-BEL,REMORQUE / BRÛLEURS,V-01-150-003,ER - Raccordement,1998,V.REMORQUE,1998-11-30,2001-10-01,VI.LO.DH,NA,,SERV,,Remorque non-lourde,Remorque non lourde
10039,REMORQUE DAL-BEL (751),DAL-BEL,REMORQUE / BRÛLEUR,V-01-150-001,ER - Équipement lourds,1998,V.REMORQUE,1998-11-30,2001-10-01,VI.LO.DH,NA,,SERV,,Remorque non-lourde,Remorque non lourde
10063,CHEVROLET CAVALIER (6060),CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,1996,V.VOITURE,1996-02-12,2001-10-01,VI.MECAN,AV,BI-CRB.E+GNV,VEND,2008-12-01,Voiture non-amenage,Voiture
10084,9475 - FORD E-150,FORD,,,,1999,V.CAMION,1998-11-16,2001-10-01,VI.MECAN,AR,ESSENCE,VEND,2009-07-14,Fourgonette,Fourgonette
10087,4798 - FORD F-150,FORD,,,,1994,V.PICK-UP,1994-07-07,2001-10-01,VI.MECAN,AR,ESSENCE,VEND,2007-08-31,Pick-up amenage,Pick-up
10088,CHARIOT ÉLÉVATEUR TOYOTA (0800) (GNV),TOYOTA,CHARIOT ÉLÉVATEUR,V-01-130,Gestion du parc de véhicules,1990,V.CHA.ELEV,1990-09-28,2001-10-01,VI.LO.DH,NA,GNV,SERV,,Chariot elevateur au gaz,Chariot élévateur
10090,CHARIOT ÉLÉVATEUR RAYMOND (5760),RAYMOND,VENDU - ENCANS RITCHIES BROS.,,,1985,V.CHA.ELEV,1985-04-18,2001-10-01,VI.MECAN,,ELECTRIQUE,VEND,2014-09-29,Chariot elevateur electrique,Chariot élévateur
10091,CHARIOT ÉLÉVATEUR TOYOTA (5797) (GNV),TOYOTA,CHARIOT ÉLÉVATEUR,V-01-130,Gestion du parc de véhicules,1995,V.CHA.ELEV,1995-03-24,2001-10-01,VI.LO.DH,NA,GNV,SERV,,Chariot elevateur au gaz,Chariot élévateur
10093,1758 - CHARIOT ÉLÉVATEUR CLARK,CLARK,VÉHICULE EN REMISAGE (ENCAN),,,1981,V.CHA.ELEV,1981-03-09,2001-10-01,VI.MECAN,,GNV,VEND,2008-02-15,Chariot elevateur au gaz,Chariot élévateur
10110,INTERNATIONAL 4700  (192),INTERNATIONAL,VENDU - ENCANS RITCHIES BROS.,,,2000,V.CAMION L,1999-09-21,2001-10-01,VI.MECAN,AR,DIESEL,VEND,2014-03-31,Camion Construction,Camion Construction
