,Entretien
1,INSPECTER VISUELLEMENT - ESSUIE-GLACE,LUBRIFIER/GRAISSER - PANNE À L'HUILE
2,AJUSTER - BANC D'AMÉNAGEMENT
3,REMPLACER - INTAKE
4,REMPLACER - PLAQUETTES AVANT,REMPLACER - DISQUES AVANT
5,REMPLACER - DISQUES AVANT
6,INSTALLER - PNEU ARRIÈRE
7,REMPLACER - INTAKE
8,REMPLACER - DISQUES AVANT
9,INSPECTER VISUELLEMENT - ESSUIE-GLACE
10,NETTOYER / LAVER - DISQUES AVANT
11,INSPECTER VISUELLEMENT - ESSUIE-GLACE
12,INSPECTER VISUELLEMENT - ESSUIE-GLACE
13,INSPECTER VISUELLEMENT - SUPPORT DE GLISSIÈRE
14,AJUSTER - COLONNE
15,REMPLACER - MOTEUR DE CHAUFFERETTE
16,REMPLACER - PNEU AVANT
17,REMPLACER - PNEU AVANT
18,LUBRIFIER/GRAISSER - ANTENNE
19,REMPLACER - PNEU AVANT
20,INSTALLER - PNEU ARRIÈRE
21,INSTALLER - PNEU ARRIÈRE
22,REMPLACER - PANNE À L'HUILE,INSPECTER VISUELLEMENT - ESSUIE-GLACE
23,VÉRIFIER - ESSUIE-GLACE
24,REMPLACER - DISQUES ARRIÈRE
25,REMPLACER - DISQUES AVANT
26,REMPLACER - PLAQUETTES ARRIÈRE
27,REMPLACER - DISQUES AVANT
28,REMPLACER - ESSUIE-GLACE,INSPECTER VISUELLEMENT - ESSUIE-GLACE
29,REMPLACER - VALVE
30,INSPECTER VISUELLEMENT - ESSUIE-GLACE,LUBRIFIER/GRAISSER - PANNE À L'HUILE
31,INSPECTER VISUELLEMENT - ESSUIE-GLACE
32,INSPECTER VISUELLEMENT - ESSUIE-GLACE
33,REMPLACER - PANNE À L'HUILE,INSPECTER VISUELLEMENT - ESSUIE-GLACE
34,INSPECTER VISUELLEMENT - ESSUIE-GLACE
35,REMPLACER - DISQUES AVANT,REMPLACER - DISQUES ARRIÈRE
36,INSPECTER VISUELLEMENT - ESSUIE-GLACE
37,VÉRIFIER - PNEU ARRIÈRE
38,REMPLACER - COURROIE MOTEUR,INSPECTER VISUELLEMENT - PNEU ARRIÈRE,REMPLACER - POULIE FOLLE
39,REMPLACER - INTAKE
40,VÉRIFIER - BATTERIE DU VÉHICULE,REMPLACER - PNEU AVANT,AJUSTER - TURBO GAUCHE
41,LUBRIFIER/GRAISSER - BEARING ARRIÈRE
42,VÉRIFIER - PNEU ARRIÈRE
43,INSPECTER VISUELLEMENT - PNEU ARRIÈRE
44,VÉRIFIER - TRANSMISSION AUTOMATIQUE
45,VÉRIFIER - PNEU ARRIÈRE
46,RECHERCHER PANNE (DIAGNOSTIQUE) - VÉRIN HYDRAULIQUE DU TAILGATE,INSPECTER VISUELLEMENT - ESSUIE-GLACE
47,REMPLACER - PNEU ARRIÈRE,REMPLACER - VÉRIN HYDRAULIQUE DU TAILGATE
48,LUBRIFIER/GRAISSER - PANNE À L'HUILE,INSPECTER VISUELLEMENT - ESSUIE-GLACE
49,INSPECTER VISUELLEMENT - ESSUIE-GLACE,REMPLACER - COURROIE MOTEUR,LUBRIFIER/GRAISSER - PANNE À L'HUILE,REMPLACER - CARROSSERIE GÉNÉRALE,REMPLACER - AIR DRYER
50,RÉPARER - INTERRUPTEUR,INSPECTER VISUELLEMENT - ESSUIE-GLACE
51,INSPECTER VISUELLEMENT - ESSUIE-GLACE,LUBRIFIER/GRAISSER - PANNE À L'HUILE
52,INSPECTER VISUELLEMENT - ESSUIE-GLACE
53,REMPLACER - PANNE À L'HUILE,INSPECTER VISUELLEMENT - ESSUIE-GLACE
