,Entretien
1,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE
2,REMPLACER PAR PIECE REMISE À NEUF - CHAUFFAGE  SYSTÈME DE CLIMATISATION
3,REMPLACER PAR PIECE NEUVE - CHAUFFAGE  SYSTÈME DE CLIMATISATION
4,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE
5,REMPLACER PAR PIECE NEUVE - FREINS
6,INSPECTER VISUELLEMENT - ÉLECTRIQUE
7,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE
8,REMPLACER PAR PIECE USAGÉE - PNEUS  ROUES
9,REMPLACER PAR PIECE NEUVE - MOTEUR
10,RÉPARER - ÉLECTRIQUE
11,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE
12,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE,REMPLACER PAR PIECE USAGÉE - PNEUS  ROUES,INSPECTER VISUELLEMENT - SUSPENTION,INSPECTER VISUELLEMENT - FREINS,INSPECTER VISUELLEMENT - ÉLECTRIQUE
13,REMPLACER PAR PIECE NEUVE - ACCESSOIRES
14,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE
15,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE,RÉPARER - ÉLECTRIQUE,RÉPARER - ÉLECTRIQUE,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE
16,INSTALLER - ÉLECTRIQUE
17,REMPLACER PAR PIECE USAGÉE - PNEUS  ROUES
18,REMPLACER PAR PIECE NEUVE - DIRECTION
19,REMPLACER PAR PIECE NEUVE - DIRECTION
20,DÉMONTER / REMONTER - PNEUS  ROUES
21,INSPECTER VISUELLEMENT - ÉQUIPEMENT AUXILIAIRE
22,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE
23,SURVOLTER - MOTEUR
24,REMPLACER PAR PIECE REMISE À NEUF - ACCESSOIRES
25,REMPLACER PAR PIECE NEUVE - PNEUS  ROUES
26,RÉPARER - PNEUS  ROUES
27,FAIRE MISE EN / HORS SERVICE - ÉLECTRIQUE
28,REMPLACER PAR PIECE NEUVE - SYSTÈME D'ÉCHAPPEMENT
29,REMPLACER PAR PIECE NEUVE - SYSTÈME D'ÉCHAPPEMENT,REMPLACER PAR PIECE NEUVE - MOTEUR,REMPLACER PAR PIECE NEUVE - PNEUS  ROUES,NETTOYER / LAVER - FREINS
30,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE
31,RÉPARER - ACCESSOIRES
32,REMPLACER PAR PIECE USAGÉE - PNEUS  ROUES
33,RECHERCHER PANNE (DIAGNOSTIC) - ÉQUIPEMENT AUXILIAIRE
34,VÉRIFIER CIRCUITS ÉLECTRIQUES - ACCESSOIRES
