,Entretien
1,REMPLACER - COMPRESSEUR À AIR
2,RECHERCHER PANNE (diagnostic) - RADIATEUR
3,RÉPARER - POMPE À INJECTION
4,REMPLACER - VENTILATEUR
5,RÉPARER - FABRIQUE SYSTÈME ÉLECTRIQUE,RÉPARER - FABRIQUE SYSTÈME ÉLECTRIQUE
6,REMPLACER - ÉTRIERS
7,REMPLACER - RÉSISTANCE,REMPLACER - CHASSIS PIÈCE CARROSSERIE
8,REMPLACER - TRANSMISSION HUILE (entretien) + FILTRE BOÎTE DE TRANSFERT
9,REMPLACER - ESSUIE-GLACE
10,AJUSTER - FILAGE ÉLECTRIQUE
11,RÉPARER - ESPAR
12,RÉPARER - RÉSERVOIR
13,RÉPARER - FILAGE ÉLECTRIQUE
14,RÉPARER - FABRIQUE SYSTÈME ÉLECTRIQUE
15,RÉPARER - COMPRESSEUR
16,RÉPARER - COMPRESSEUR
17,RÉPARER - COMPRESSEUR
18,MODIFIER - COMPRESSEUR
19,VÉRIFIER - BOUCHONS
20,REMPLACER - ÉTRIERS
21,RÉPARER - FILAGE ÉLECTRIQUE,RÉPARER - FUITE HUILE,TOURNER / MACHINER / FABRIQUER - AJUSTEMENT D'USAGE,RÉPARER - FLÈCHE SIGNALÉTIQUE
22,REMPLACER - DISQUES
23,VÉRIFIER - CHASSIS INSPECTION VISUEL CARROSSERIE
24,RÉPARER - AJUSTEMENT D'USAGE
25,REMPLACER - DISQUES,REMPLACER - CYLINDRE DE FREIN
26,RÉPARER - SOUPAPE DE DIRECTION
27,RÉPARER - TOILE DE BENNE
28,REMPLACER - FILAGE ÉLECTRIQUE
29,RÉPARER - FILAGE ÉLECTRIQUE,NETTOYER / LAVER - COMPRESSEUR,RÉPARER - FILAGE ÉLECTRIQUE
30,RÉPARER - FILAGE ÉLECTRIQUE
31,RÉPARER - FUITE HUILE,REMPLACER - TUYAUX,NETTOYER / LAVER - BATTERIE,REMPLACER - PNEU PNEU ROUE,RÉPARER - COMPRESSEUR,REMPLACER - BIELLE DE RACCORDEMENT
32,REMPLACER - POMPE À SERVO-DIRECTION
33,REMPLACER - ESSUIE-GLACE,RÉPARER - FILAGE ÉLECTRIQUE
34,REMPLACER - FILAGE ÉLECTRIQUE
35,RECHERCHER PANNE (diagnostic) - COMPRESSEUR
36,REMPLACER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
37,TOURNER / MACHINER / FABRIQUER - PNEU PNEU ROUE
38,REMPLACER - FILAGE ÉLECTRIQUE
39,REMPLACER - FILAGE ÉLECTRIQUE,RÉPARER - MISE AU POINT (Tune -up)
40,RÉPARER - BOÎTIER DE DIRECTION ( Steering box)
41,REMPLACER - FILAGE ÉLECTRIQUE
