,Entretien
1,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE
2,REMPLACER PAR PIECE REMISE À NEUF - CHAUFFAGE  SYSTÈME DE CLIMATISATION
3,REMPLACER PAR PIECE NEUVE - CHAUFFAGE  SYSTÈME DE CLIMATISATION
4,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE
5,REMPLACER PAR PIECE NEUVE - FREINS
6,INSPECTER VISUELLEMENT - ÉLECTRIQUE
7,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE
8,REMPLACER PAR PIECE USAGÉE - ÉQUIPEMENT AUXILIAIRE
9,REMPLACER PAR PIECE USAGÉE - PNEUS  ROUES
10,REMPLACER PAR PIECE NEUVE - MOTEUR
11,RÉPARER - ÉLECTRIQUE
12,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE
13,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE,REMPLACER PAR PIECE USAGÉE - PNEUS  ROUES,INSPECTER VISUELLEMENT - SUSPENTION,INSPECTER VISUELLEMENT - FREINS,INSPECTER VISUELLEMENT - ÉLECTRIQUE
14,REMPLACER PAR PIECE NEUVE - ACCESSOIRES
15,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE
16,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE,RÉPARER - ÉLECTRIQUE,RÉPARER - ÉLECTRIQUE,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE
17,INSTALLER - ÉLECTRIQUE
18,REMPLACER PAR PIECE USAGÉE - PNEUS  ROUES
19,REMPLACER PAR PIECE NEUVE - DIRECTION
20,REMPLACER PAR PIECE NEUVE - DIRECTION
21,DÉMONTER / REMONTER - PNEUS  ROUES
22,INSPECTER VISUELLEMENT - ÉQUIPEMENT AUXILIAIRE
23,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE
24,SURVOLTER - MOTEUR
25,REMPLACER PAR PIECE REMISE À NEUF - ACCESSOIRES
26,REMPLACER PAR PIECE NEUVE - PNEUS  ROUES
27,RÉPARER - PNEUS  ROUES
28,FAIRE MISE EN / HORS SERVICE - ÉLECTRIQUE
29,REMPLACER PAR PIECE NEUVE - SYSTÈME D'ÉCHAPPEMENT
30,REMPLACER PAR PIECE NEUVE - SYSTÈME D'ÉCHAPPEMENT,REMPLACER PAR PIECE NEUVE - MOTEUR,REMPLACER PAR PIECE NEUVE - PNEUS  ROUES,NETTOYER / LAVER - FREINS
31,REMPLACER PAR PIECE NEUVE - ÉLECTRIQUE
32,RÉPARER - ACCESSOIRES
33,REMPLACER PAR PIECE USAGÉE - PNEUS  ROUES
34,RECHERCHER PANNE (DIAGNOSTIC) - ÉQUIPEMENT AUXILIAIRE
